user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
filosganga;3;1;0;4788;1;2;2
bedla;7;6;0;1;2;278;15
costin;11;3;0;2;9;526;15
costin;9;1;0;3;9;137;11
twicksell;18;1;0;4;8;454;26
lepirlouit;20;1;0;0;0;0;0
ttddyy;1144;3;0;1;3;257;1
ttddyy;639;1;0;1;2;31;0
ttddyy;173;1;0;1;1;40;47
ttddyy;75;6;0;1;2;85;8
ttddyy;72;2;0;1;2;267;0
ttddyy;43;7;0;1;24;1171;142
ttddyy;31;4;0;1;12;531;0
ttddyy;23;2;0;1;1;5;0
swachter;28;4;0;0;0;0;0
scottfrederick;30;10;0;1;4;389;0
marschall;1282;1;0;1;1;3;3
marschall;1281;1;0;1;3;6;6
marschall;1280;4;0;1;1;2;4
marschall;1206;1;0;1;28;58;58
marschall;1205;1;0;1;2;2;5
marschall;1204;0;0;1;2;1;5
marschall;1003;2;0;1;1;5;1
marschall;797;1;0;1;3;16;10
marschall;527;1;0;1;6;10;17
marschall;526;1;0;1;12;63;64
marschall;525;1;0;1;9;70;70
marschall;524;1;0;1;12;39;39
marschall;523;1;0;1;7;22;22
marschall;522;1;0;1;10;41;43
marschall;521;1;0;1;11;0;12
marschall;520;1;0;1;13;0;21
marschall;519;1;0;1;1;7;6
marschall;518;2;0;1;14;97;107
marschall;463;1;0;1;1;11;3
marschall;397;1;0;1;1;3;3
marschall;295;4;0;1;3;339;0
marschall;292;5;0;1;8;562;0
marschall;222;15;0;1;8;606;1
marschall;64;4;0;1;1;7;1
marschall;37;6;0;1;2;30;17
marschall;34;5;0;1;11;12;30
dmak;334;1;0;14;2;141;23
dmak;330;7;0;15;2;196;92
dmak;306;13;0;13;2;234;51
dmak;235;1;0;11;2;101;0
dmak;129;16;0;10;2;561;0
dmak;128;16;0;14;3;315;11
dmak;89;1;0;9;2;311;0
dmak;88;9;1;9;2;491;0
dmak;40;4;0;7;0;0;0
mjkrumlauf;44;5;0;0;0;0;0
jyothim;52;2;0;7;2;271;3
jyothim;51;0;0;7;33;171;81
giovannidalloglio;219;3;0;2;19;744;34
giovannidalloglio;201;4;0;174;1087;10227;36994
giovannidalloglio;80;5;9;1;19;428;63
giovannidalloglio;54;5;0;3;234;11767;2009
Abdull;55;4;0;0;0;0;0
tburch;56;10;0;1;9;120;15
shred;60;4;0;0;0;0;0
dukehoops;63;2;0;1;2;80;3
lhotari;731;1;0;1;1;12;6
lhotari;531;1;0;1;4;31;0
lhotari;65;1;0;1;1;6;1
Dridi;66;4;0;0;0;0;0
djkieras;68;3;0;0;0;0;0
allnightlong;70;5;0;0;0;0;0
sgri;71;2;0;2;2;2;2
movink;74;5;0;2;1;140;0
davidthexton;78;2;0;1;8;2386;2231
JanecekPetr;81;1;0;0;0;0;0
rcrathore;82;1;0;1;1;2;1
obecker;307;0;0;1;1;17;4
obecker;85;5;1;1;6;52;43
ianbrandt;90;1;1;1;1;187;5
matsev;536;2;0;1;2;524;0
matsev;535;2;0;1;1;18;18
matsev;504;5;0;1;2;618;0
matsev;91;4;0;1;4;2;13
DavidBiesack;92;4;0;0;0;0;0
maxcom;93;3;0;1;2;9;1
tmeighen;130;1;0;1;3;15;2
tmeighen;96;4;0;1;2;128;6
jexp;100;1;0;1;1;2;1
remast;102;4;0;2;6;266;0
edalquist;165;1;0;0;0;0;0
edalquist;164;2;0;0;0;0;0
edalquist;103;1;0;0;0;0;0
satyapalreddy;114;4;0;1;16;522;60
jjYBdx4IL;119;2;0;0;0;0;0
wkleu;127;2;0;1;2;92;2
wkleu;126;2;0;1;2;92;2
billkoch;138;1;0;1;4;273;4
isopov;145;3;0;1;1;1;0
tempredirect;153;3;0;1;5;107;6
tempredirect;152;0;0;1;5;90;4
karlbennett;644;2;0;1;6;299;12
karlbennett;261;4;0;1;1;2;2
karlbennett;259;1;0;1;1;1;1
karlbennett;170;1;0;1;1;1;1
mdeinum;1140;2;0;2;2;81;7
mdeinum;1006;1;0;1;2;42;4
mdeinum;838;1;0;1;1;1;1
mdeinum;552;1;0;1;2;18;6
mdeinum;551;13;0;2;2;128;33
mdeinum;234;2;0;20;264;455;271
mdeinum;174;1;0;1;1;13;1
ericweinberg;175;4;0;1;1;19;14
EzequielB;179;1;0;2;2;2;6
EzequielB;178;1;0;1;1;117;0
EzequielB;177;2;0;1;1;1;1
stuartgunter;180;1;0;1;2;6;3
zhouzhonghua;264;1;0;3;3;31;2
zhouzhonghua;182;1;0;3;3;31;2
zhengxiaochuan;193;1;0;1;1;1;1
KingBuzzer;1115;2;0;1;1;1;1
KingBuzzer;196;0;0;1;1;1;1
habuma;204;1;0;1;1;1;0
acogoluegnes;236;1;0;1;1;8;1
acogoluegnes;233;1;0;1;1;25;0
acogoluegnes;232;2;0;1;5;225;4
acogoluegnes;205;5;0;1;4;109;2
daveboden;217;1;0;1;3;32;6
daveboden;211;2;0;4;3;32;6
daveboden;206;3;0;1;2;1107;1091
tommack;208;0;0;1;1;1;1
bijukunjummen;1273;1;0;1;2;92;1
bijukunjummen;703;0;0;1;1;5;1
bijukunjummen;662;1;0;1;6;313;264
bijukunjummen;514;3;0;1;1;1;1
bijukunjummen;464;1;0;1;3;233;15
bijukunjummen;407;0;0;1;1;10;10
bijukunjummen;404;0;0;1;4;13;13
bijukunjummen;382;1;0;1;4;61;12
bijukunjummen;324;0;0;1;4;133;1
bijukunjummen;314;0;0;1;1;1;1
bijukunjummen;213;3;0;1;1;9;6
eugenp;215;8;0;0;0;0;0
alan125;216;1;0;1;1;2;1
kdombeck;221;0;0;1;1;1;1
magruschinske;223;0;0;1;1;3;1
lemonzy;226;0;0;1;1;1;0
lemonzy;225;0;0;1;1;1;0
bill2004158;229;1;0;1;1;1;1
avbentem;230;1;0;1;1;8;0
wesleyhall;238;2;0;0;0;0;0
staale;239;2;0;1;2;40;2
nurkiewicz;837;0;0;1;2;41;9
nurkiewicz;241;3;0;2;1;1;1
jmnarloch;912;7;3;1;7;371;2
jmnarloch;886;3;0;1;1;8;4
jmnarloch;615;2;0;1;3;90;2
jmnarloch;614;3;0;1;2;77;22
jmnarloch;613;3;0;1;1;19;0
jmnarloch;243;3;0;1;1;84;0
michail-nikolaev;246;6;0;1;16;650;32
backslash47;248;1;0;1;1;5;0
dharkness;260;1;0;1;1;2;2
dharkness;252;1;0;1;1;10;14
yegorch;258;0;0;1;1;7;3
martinlippert;819;1;0;1;2;5;1
martinlippert;263;5;0;2;3;13;8
nkukhar;265;1;0;0;0;0;0
SimplyAmuthan;267;1;0;1;1;4;0
josebarragan;268;2;0;0;0;0;0
xuechong87;414;0;0;0;0;0;0
xuechong87;274;0;0;0;0;0;0
Zeouterlimits;278;1;0;1;1;2;2
adriandoyle;280;1;0;0;0;0;0
kdlan;284;1;0;1;2;2;1
Fuud;294;4;0;1;1;1;1
Fuud;290;5;0;1;6;210;48
deline;296;1;0;1;2;28;3
beamerblvd;320;1;0;1;1;47;40
beamerblvd;319;2;0;2;3;165;0
beamerblvd;318;1;0;3;5;125;3
beamerblvd;305;1;0;1;1;6;1
beamerblvd;298;3;0;1;37;2554;35
beamerblvd;297;9;0;1;13;467;24
eric-vlaanderen;300;3;0;1;1;21;3
onagano-rh;302;0;0;1;4;24;0
antonio-marrero;304;2;0;1;2;15;0
marcioj;310;2;0;0;0;0;0
sfussenegger;313;1;0;0;0;0;0
sfussenegger;311;4;0;0;0;0;0
panzhiqiu;316;1;0;77;166;2694;1804
twhitmorenz;321;1;0;1;1;8;1
Xaerxess;379;1;0;1;1;18;17
Xaerxess;326;2;0;1;1;7;7
Xaerxess;325;3;0;1;2;4;4
lonre;328;1;0;1;1;2;2
sleepred;329;2;0;1;2;69;2
clemp6r;357;2;0;0;0;0;0
clemp6r;335;3;0;0;0;0;0
bparry02;337;0;0;1;7;93;2
janm399;345;2;0;1;1;2;0
janm399;344;3;0;1;1;32;5
janm399;338;4;0;2;4;256;0
GabiAxel;339;2;3;0;0;0;0
raphw;340;2;0;1;1;4;4
byungseok;342;2;0;1;1;28;3
pbobruk;343;1;0;0;0;0;0
sivaprasadvalluru;348;4;0;3;6;261;2
vvictorlee;360;3;0;1;1;5;5
vvictorlee;352;2;0;1;1;22;2
tan9;353;1;0;1;1;1;1
nitinsha;356;0;0;275;410;14484;5472
xiaofengchen;369;0;0;162;285;4675;3050
freexiao;383;0;0;169;299;5103;3222
wayshall;384;4;0;0;0;0;0
candrews;861;1;0;1;1;12;0
candrews;860;2;0;1;1;30;0
candrews;854;2;2;1;3;139;3
candrews;829;3;0;2;2;17;0
candrews;653;7;0;2;7;818;37
candrews;630;1;0;1;1;5;8
candrews;629;1;0;1;1;13;6
candrews;532;2;0;3;11;119;14
candrews;479;1;0;1;1;1;3
candrews;478;1;0;1;1;1;3
candrews;477;2;0;1;1;2;2
candrews;385;3;0;1;2;102;10
artembilan;548;3;0;1;4;26;23
artembilan;389;0;0;1;2;7;4
artembilan;388;1;0;1;2;7;4
chelu;398;1;0;1;6;173;29
chelu;391;0;1;1;6;154;15
chelu;390;1;0;1;3;87;1
sxkolanupaka;394;1;0;182;320;5632;3493
mezhou887;401;0;0;0;0;0;0
mezhou887;400;0;0;0;0;0;0
mezhou887;399;0;0;0;0;0;0
guidomedina;454;3;0;1;1;3;16
guidomedina;405;0;0;208;371;7166;4290
cdupuis;409;0;0;1;2;13;3
evpaassen;411;4;0;1;1;3;3
samuelteixeiras;412;3;0;8;5;30;9
bwzhang2011;413;0;0;209;370;7206;4274
ericdahl;418;1;0;1;37;55;55
lehoon;420;0;0;2;14;287;37
purnimanagpal23;422;0;0;1;1;1;0
md42;424;1;0;1;1;2;2
fpavageau;425;0;0;1;1;46;2
dannyarcher;426;0;0;1;1;21;5
VasylTretiakov;558;1;0;0;0;0;0
VasylTretiakov;430;0;2;0;0;0;0
VasylTretiakov;429;1;0;0;0;0;0
VasylTretiakov;428;3;0;0;0;0;0
VasylTretiakov;427;1;0;0;0;0;0
floresj;431;5;0;1;1;1;1
snicoll;610;4;17;1;3;1046;0
snicoll;496;0;0;1;2;132;29
snicoll;492;1;0;1;3;215;2
snicoll;490;4;0;1;4;188;65
snicoll;483;4;0;1;2;28;13
snicoll;482;1;0;1;1;35;5
snicoll;480;1;0;1;3;86;1
snicoll;462;0;0;1;1;121;0
snicoll;461;1;0;1;6;347;22
snicoll;452;0;0;1;1;28;6
snicoll;448;1;0;1;43;240;603
snicoll;447;0;3;2;1;32;0
snicoll;445;5;0;2;1;9;4
snicoll;443;3;0;2;5;142;3
snicoll;442;1;0;2;3;236;28
snicoll;441;3;0;2;25;652;68
snicoll;439;1;0;1;1;2;2
snicoll;436;4;0;3;1;40;6
snicoll;435;1;0;1;1;1;1
snicoll;434;1;0;1;1;18;4
kkroner;438;4;0;1;1;10;0
malkusch;1012;2;0;1;1;6;4
malkusch;440;0;0;1;2;59;6
devashishmamgain;444;1;0;5;1;6;2
ArloL;446;1;0;1;1;20;0
robfrank;459;2;0;0;0;0;0
zhangclong;460;2;0;1;1;2;0
wjkiss000;465;1;0;379;633;14599;9410
petrukhnov;469;1;0;1;1;1;1
aweigold;473;1;0;1;1;38;0
cbaldwin74;485;2;0;1;10;742;498
cloudmark;487;5;0;1;5;80;3
bturner;491;1;0;1;1;17;6
antihate80;498;0;0;6;2;8;0
roseyoung;500;0;0;1;1;1;0
sakli1;501;1;0;1;1;1;1
arey;502;1;0;0;0;0;0
youngjee;608;0;0;1;1;1;0
youngjee;506;0;0;2;2;9;6
mbknor;510;2;0;2;2;3;3
HejiaHo;513;1;0;1;1;1;1
MoonJongMin;676;1;0;1;2;138;1
MoonJongMin;517;1;0;3;6;120;8
MoonJongMin;515;2;0;1;2;56;2
GrahamLea;516;1;0;1;1;13;0
sorra;533;2;0;1;2;30;2
Chexpir;534;1;0;1;1;1;1
romansky;542;0;0;0;0;0;0
maciejwalkowiak;543;1;0;1;4;262;72
lihuiying;545;1;0;462;734;18991;11599
jkschneider;549;1;0;1;1;1;0
zhang-yan-talendbj;550;1;0;1;17;199;449
hussamcs;555;1;0;124;256;6323;2660
paulojribp;556;2;0;0;0;0;0
ghzsw;559;1;0;124;256;6323;2660
hengyunabc;1327;1;0;1;1;1;1
hengyunabc;562;2;0;2;1;12;11
aemruli;585;1;0;1;4;79;7
aemruli;578;1;0;1;2;136;0
MykolaBova;579;0;0;4;0;0;0
bmahe-tango;580;2;0;1;1;19;3
cshannon;587;1;0;1;5;138;26
lfarmer;588;8;0;34;232;9856;2359
overmindx;683;0;0;2;2;3;3
overmindx;682;0;0;2;2;2;2
overmindx;681;1;0;3;2;6;2
overmindx;605;2;0;1;1;1;1
bsangwan;606;2;0;1;1;91;24
dharaburda;616;1;0;1;5;115;106
dharaburda;607;1;0;1;2;130;38
jinhanyun;618;0;0;205;460;9497;4683
stevensouza;619;1;0;1;2;223;78
cp149;622;3;0;216;515;10249;5446
milgarubanjuk;628;1;0;1;2;14;4
tsingheng;632;0;0;0;0;0;0
AddoSolutions;636;2;0;1;1;13;0
yuyonglucky;1022;1;0;1;0;0;0
yuyonglucky;640;0;0;1;0;0;0
nigelzor;643;0;0;1;2;18;2
mgbckr;646;1;0;3;4;58;2
olomix;648;3;0;1;1;1;1
quaff;1259;0;0;1;1;1;1
quaff;1244;2;0;1;1;6;4
quaff;998;1;0;1;4;142;0
quaff;650;2;0;1;1;11;3
unpush;651;3;0;1;1;1;1
usultis;652;2;0;1;1;5;5
adjohnson916;654;1;0;1;1;3;3
kicktipp;694;2;0;0;0;0;0
kicktipp;655;1;0;0;0;0;0
emalock3;657;1;0;1;2;45;1
K0zka;658;0;0;0;0;0;0
mobichel;661;1;0;0;0;0;0
vincentKim1218;680;0;0;8;1;6;6
vincentKim1218;674;1;0;7;1;6;6
vincentKim1218;665;1;0;2;2;1;2
luckybomb;667;3;0;1;1;3;2
luckybomb;666;0;0;1;1;3;2
antonigaudi;668;4;0;1;2;13;1
RyuSangGi;672;2;0;2;1;5;3
