mleventi;2;250;73;;;;;;
hungryblank;1;75;;;;;;;
maxpert;1;99;;;;;;;
idaunis;1;225;;;;;;;
zaa;1;240;;;;;;;
nike-17;1;251;;;;;;;
mcandre;2;311;309;;;;;;
tchajed;1;314;;;;;;;
0xffea;1;317;;;;;;;
pete0emerson;1;351;;;;;;;
hirose31;2;1155;355;;;;;;
micrypt;1;377;;;;;;;
amanelis;1;380;;;;;;;
skomski;3;406;405;381;;;;;
fritzy;2;411;410;;;;;;
slact;1;424;;;;;;;
rebx;1;463;;;;;;;
vijaydev;1;467;;;;;;;
alicebob;1;487;;;;;;;
idank;1;503;;;;;;;
pumasuede;1;513;;;;;;;
cwalsh;1;517;;;;;;;
cababunga;1;534;;;;;;;
msteinert;1;537;;;;;;;
christianparpart;1;554;;;;;;;
zircote;1;571;;;;;;;
eryx;1;578;;;;;;;
trapezoid;1;582;;;;;;;
mgp;2;1351;605;;;;;;
jroith;1;615;;;;;;;
rnamiki;1;629;;;;;;;
anfernee;1;644;;;;;;;
oscardelben;1;657;;;;;;;
liquidgecka;1;679;;;;;;;
kemitix;1;682;;;;;;;
aluzzardi;1;717;;;;;;;
bensie;1;719;;;;;;;
holic;1;729;;;;;;;
ambakshi;1;752;;;;;;;
manuelmeurer;2;1897;765;;;;;;
calebperkins;1;781;;;;;;;
donzell;1;790;;;;;;;
arsenm;1;795;;;;;;;
skx;1;827;;;;;;;
toice;1;829;;;;;;;
darashi;1;835;;;;;;;
tricknotes;2;848;836;;;;;;
ldm5180;4;2236;843;842;838;;;;
dubek;1;851;;;;;;;
doismellburning;1;854;;;;;;;
dvdplm;1;858;;;;;;;
ccding;3;897;880;878;;;;;
srned;1;908;;;;;;;
jimothyGator;1;909;;;;;;;
jiripospisil;1;927;;;;;;;
thorduri;1;945;;;;;;;
daniel-levin;2;951;950;;;;;;
chilts;1;960;;;;;;;
stamhe;6;982;976;975;974;973;971;;
papanikge;2;1507;988;;;;;;
danielbprice;1;997;;;;;;;
mezzatto;1;1012;;;;;;;
matteobaglini;1;1014;;;;;;;
jumping;2;1038;1037;;;;;;
dim;1;1051;;;;;;;
ripcurld0;6;1681;1227;1223;1222;1182;1055;;
sneakycain;1;1059;;;;;;;
xiaost7;2;1464;1062;;;;;;
melvyn-sopacua;1;1066;;;;;;;
bakwc;1;1076;;;;;;;
JensRantil;1;1102;;;;;;;
seifer;1;1108;;;;;;;
Bamco;1;1115;;;;;;;
jgeiger;1;1116;;;;;;;
jw2013;2;1498;1142;;;;;;
TrafeX;1;1146;;;;;;;
nsabine;1;1148;;;;;;;
flygoast;1;1149;;;;;;;
bbonev;1;1160;;;;;;;
k0da;1;1181;;;;;;;
ybrs;1;1186;;;;;;;
scottjg;1;1188;;;;;;;
nickleefly;1;1190;;;;;;;
dilcom;2;1196;1195;;;;;;
eyolfson;1;1197;;;;;;;
anthonyu;1;1202;;;;;;;
parhamr;1;1237;;;;;;;
xgwang;2;1243;1242;;;;;;
philips;1;1246;;;;;;;
bobzilladev;2;1971;1247;;;;;;
Maxime2;1;1260;;;;;;;
josiahcarlson;1;1280;;;;;;;
hsb0818;8;1327;1324;1323;1322;1321;1320;1319;1300
reterVision;1;1304;;;;;;;
anupshendkar;1;1313;;;;;;;
stevestavropoulos;1;1317;;;;;;;
dvberkel;1;1326;;;;;;;
fesplugas;1;1338;;;;;;;
allevo;1;1344;;;;;;;
GoldenWings91;1;1345;;;;;;;
haneefmubarak;1;1347;;;;;;;
tixxdz;1;1348;;;;;;;
abedra;1;1352;;;;;;;
upcrob;1;1358;;;;;;;
nmerdan;2;1371;1368;;;;;;
dlutxx;2;1386;1385;;;;;;
Aaron1011;2;1412;1403;;;;;;
georgenicolaou;1;1418;;;;;;;
celeritas17;1;1424;;;;;;;
GavinJoyce;1;1435;;;;;;;
benlovell;1;1436;;;;;;;
wuddup;1;1441;;;;;;;
liexusong;1;1450;;;;;;;
reflection;1;1456;;;;;;;
the100rabh;1;1475;;;;;;;
alonisser;1;1486;;;;;;;
dmitriiabramov;1;1513;;;;;;;
kaitian521;2;2732;1516;;;;;;
alghak;2;1523;1519;;;;;;
agis-;1;1544;;;;;;;
ic;1;1588;;;;;;;
sarnold;1;1598;;;;;;;
kuebler;1;1602;;;;;;;
Joshua-Anderson;1;1610;;;;;;;
lionel0806;1;1614;;;;;;;
jbochi;3;1960;1682;1615;;;;;
cubicdaiya;1;1631;;;;;;;
tw-bert;1;1634;;;;;;;
nagpach;1;1644;;;;;;;
zhaojinqiang;5;2435;1656;1655;1654;1653;;;
dchest;1;1673;;;;;;;
milesmatthias;1;1683;;;;;;;
whuqin;1;1685;;;;;;;
jperla;1;1691;;;;;;;
edgarsi;1;1696;;;;;;;
hanael80;2;1719;1714;;;;;;
dallasmarlow;1;1718;;;;;;;
wjin;2;1741;1733;;;;;;
axos88;2;1740;1738;;;;;;
weswigham;1;1755;;;;;;;
ericfrederich;2;1757;1756;;;;;;
coocood;1;1770;;;;;;;
wandenberg;1;1777;;;;;;;
kjmph;1;1786;;;;;;;
lusecond;1;1817;;;;;;;
thijsbro;1;1831;;;;;;;
lwch;1;1835;;;;;;;
byterussian;1;1841;;;;;;;
alexanderGugel;1;1859;;;;;;;
thrig;1;1872;;;;;;;
c9n;1;1877;;;;;;;
CalvinZhu;1;1884;;;;;;;
siahh;2;1956;1900;;;;;;
eiiches;1;1914;;;;;;;
kurtzhong;1;1923;;;;;;;
jcspencer;1;1930;;;;;;;
pickupapenguin;1;1937;;;;;;;
tjschuck;1;1938;;;;;;;
cartesius23;1;1941;;;;;;;
paddybyers;2;1945;1944;;;;;;
git-hulk;3;1948;1947;1946;;;;;
JackieXie168;1;1953;;;;;;;
camilo;2;1975;1968;;;;;;
flyingmutant;1;2002;;;;;;;
deyimsf;1;2003;;;;;;;
aniruddhc1;1;2005;;;;;;;
zhongliangkang;1;2019;;;;;;;
lovelle;2;2040;2029;;;;;;
mparramont;1;2034;;;;;;;
noormahammad;1;2044;;;;;;;
colinstonema;1;2056;;;;;;;
pythias;2;2111;2059;;;;;;
trauzti;1;2090;;;;;;;
jipperinbham;1;2097;;;;;;;
wormhole1026;1;2108;;;;;;;
fomy;1;2112;;;;;;;
vlajos;1;2123;;;;;;;
lmscsomg;1;2124;;;;;;;
redfoxli;1;2131;;;;;;;
dineshjoshi;1;2160;;;;;;;
NickeyWoo;1;2172;;;;;;;
0312-1985;1;2220;;;;;;;
HetaoWang;1;2260;;;;;;;
Robot7;1;2328;;;;;;;
krolth;1;2334;;;;;;;
mbrukman;1;2345;;;;;;;
mikeburkat;1;2377;;;;;;;
emperor1523;1;2398;;;;;;;
codeslinger;1;2409;;;;;;;
jxwr;1;2490;;;;;;;
dguo;1;2491;;;;;;;
AlexStocks;1;2501;;;;;;;
sneub;1;2506;;;;;;;
zhch;1;2531;;;;;;;
skyhack1212;1;2555;;;;;;;
tycho;1;2569;;;;;;;
raintean;1;2580;;;;;;;
srri;1;2625;;;;;;;
idning;1;2628;;;;;;;
arnib;1;2667;;;;;;;
chenming219;1;2699;;;;;;;
Sudhanshub;1;2723;;;;;;;
LongXQ;1;2784;;;;;;;
rpannell;1;2793;;;;;;;
davydovanton;2;2840;2797;;;;;;
halaei;1;2821;;;;;;;
21moons;1;2823;;;;;;;
danlrobertson;2;2829;2825;;;;;;
tyler-rand;1;2831;;;;;;;
xchen0012;1;2837;;;;;;;
flavius-m;1;2845;;;;;;;
dokipen;1;2869;;;;;;;
ybur-yug;1;2884;;;;;;;
feihu618;1;2892;;;;;;;
rouzier;1;2893;;;;;;;
lzmths;1;2912;;;;;;;
jaykei;1;2913;;;;;;;
neuront;2;2922;2921;;;;;;
petiepooo;1;2932;;;;;;;
woodyhymns;1;2936;;;;;;;
BridgeAR;1;2986;;;;;;;
tushar2708;1;3024;;;;;;;
FlamingTree;1;3028;;;;;;;
RoyHP;1;3050;;;;;;;
pengfei-xue;1;3068;;;;;;;
shaharmor;1;3090;;;;;;;
yubing-1987;1;3098;;;;;;;
igoso;1;3103;;;;;;;
cyberdelia;1;3112;;;;;;;
prasanthpd;1;3130;;;;;;;
songoku1610;1;3140;;;;;;;
liuhui998;1;3164;;;;;;;
tidwall;1;3194;;;;;;;
devuo;1;3204;;;;;;;
JacobHenner;1;3207;;;;;;;
clyang;1;3208;;;;;;;
chaozh;1;3209;;;;;;;
SrikumarDalai;1;3230;;;;;;;
nibaozhu;1;3253;;;;;;;
pedigree;1;3272;;;;;;;
denisvm;1;3322;;;;;;;
peterkomar;1;3344;;;;;;;
theusualcoder;1;3357;;;;;;;
lipeishen;1;3373;;;;;;;
xiamengyu;1;3380;;;;;;;
sitano;1;3408;;;;;;;
miketheman;1;3424;;;;;;;
johamwon;1;3441;;;;;;;
fritzprix;1;3460;;;;;;;
mrvon;1;3478;;;;;;;
Markgorden;1;3479;;;;;;;
CodeMin;1;3488;;;;;;;
cokochiaki;1;3506;;;;;;;
eimann;1;3510;;;;;;;
codeyman;1;3517;;;;;;;
maiha;1;3556;;;;;;;
sniperking1234;1;3558;;;;;;;
AAA-AA;1;3567;;;;;;;
damianfonville;1;3571;;;;;;;
joeylichang;1;3574;;;;;;;
OnTheEasiestWay;1;3590;;;;;;;
abel213;1;3633;;;;;;;
wutaowater0107;1;3656;;;;;;;
harishmurthy;1;3677;;;;;;;
win32nipuh;1;3679;;;;;;;
pphamzc;1;3759;;;;;;;
GitHubMota;1;3806;;;;;;;
lekararik;2;3814;3813;;;;;;